0 乖,咱不买
0 我早就不爱你了,只是不知道怎么和你说
0 我只是太冲动了,没有控制好自己才动的手
0 之前没觉得,慢慢的发现我们真的不合适
0 你就当从没遇见过我吧
1 宝 每次跟你打王者 我总希望对面有人来偷水晶 你会说我们家被偷了 这时我就很开心 原来我可以跟你有个家 
1 宝 你今天怎么没有跟我说早啊 群发没有勾上我吗 明天一定要勾上我噢
1 今天他终于叫了我的名字 虽然叫错了,但是没关系 我马上就去改名
1 大哥,求你哄哄她吧,她心情好了,就愿意理我了
0 我和她只是逢场作戏,你不要误会
0 男人都忘不了初恋的
1 他朋友圈屏蔽我了,我陷入了沉思,大都是屏蔽家人,原来他把我当做她家人了,他好细节啊,我更爱他了
1 我一个月工资五千 你以为我会给你五千吗 我会再借二百发5200给你 太爱你了 宝
1 宝 你永远都不知道 我最爱你的时候哭得我荞麦枕头都发芽了
1 以后别去狗市找我了 我已经不做舔狗了 如果你想我了就去海鲜市场找我 我在那边当鱼 如果海鲜市场也没找到 去汽修厂看看 有时候我在那里当备胎 如果汽修厂也没有 那就去草原看看 我在那边当牛马
1 宝,以后别叫我舔狗了,我军训完了,以后就叫我军犬吧
1 爱一个人就要被你们说舔狗吗？她跟别人去酒店都是问我要的钱,难道这还不够爱我吗？
1 宝,让他戴套,钱我出,等你不想玩了我跟你结婚
1 今天晚上有点冷,本来以为街上没有人,结果刚刚偷电瓶的时候被抓,本来想反抗,结果警察说了一句老实点别动,我立刻就放弃了抵抗,因为我记得你说过你喜欢老实人 
1 今天下雨了,你跟她出门的时候记得要带伞,多穿一点衣服,玫瑰花扎手,拿的时候,注意不要被扎到了,亲嘴的时候记得要看一下她的健康码呀！宝贝,呜呜呜
1 宝,孩子生下来吧,我跟孩子姓
1 宝,你不喜欢吃吗？你想吃什么告诉我”
0 你要是温柔体贴懂事,我怎么会劈腿呢
0 我跟别人聊骚是不对,但你看我的手机更不对
0 你自己不能回家吗,为什么要我去接你
0 我早就不喜欢你了,但是怕你伤心,所以没跟你说
0 不能生儿子,不会做家务,还能算女人吗？
0 我们不公开好吗,我不想别人谈论我们
1 为什么叫我滚呀,怕我走路太累吗？555更加爱你了我的宝
1 今天下雨了,我把唯一的伞给了你,你问我怎么回去,没关系 我可以摇花手回去”
1 心都碎成二维码了 可扫出来还是我好想你呜呜呜
1 你跟他在雨里亲嘴果然感冒了你叫我去给你买感冒药你拿我当什么人了？你以为我会去给你买药吗？我不光给你买药 我把我肋骨打断给你熬汤喝啊！我的臭宝儿！
1 宝今天给你发了十条消息 你回了我一个句号 给我的话语做了个总结 你真的好细节啊 我更喜欢你啦我的宝
0 你先给我打一千,情人节礼物明年给宝贝补上
0 你都不是处女了,让我怎么珍惜你
0 你这样和我前女友有什么区别
0 我从来没有想过要为你放弃我的家庭啊
0 我本来不想伤害你的
0 你这么想我也没办法
0 我不愿意将就
0 你怎么不相信我,我跟她本来就没什么
0 你怎么不化妆就出来见我了？
0 我妈不同意我们在一起
0 你是个好女孩儿,但我们不能在一起
0 我只把你当朋友
0 能不能不要逼我了,给我一点时间好不好
0 她只是我的高中同学,你别想多了
0 我怕你生气才没告诉你
0 我跟她只是玩玩而已,开玩笑的,你别当真
0 我配不上你
1 手机震了一下,非常高兴,心想会不会是你 震第二下就知道不是了,你没有那么多话跟我讲
1 宝！我给你打了一通电话,你终于接了 听到了你发出啊啊啊啊的声音,你说你脚痛,我想你一定是很难受吧 电话还有个男的对你说“来换个姿势” 你一定是在做理疗,好心疼,期待你早日康复！宝爱你！
1 宝没事的不管你怎么样我都不介意的,只要你不要不理我就好了,缺钱的时候记得跟我讲哦,爱你
1 我给你发了99条消息 你终于肯回我了 你说“你发你妈 烦不烦” 我一下子就哭了,原来努力真的有用,你已经开始考虑见我的妈妈了,你也挺喜欢我的吧 
1 宝,我怎么看不见你发的朋友圈呀？ 是把我放到你家人的那一组了吗？ 原来我和你家人一样重要啊 你也是我最重要的人,我的宝 宝,我要看你,果然,我们的爱是双向奔赴的
1 和别的哥哥聊天聊累了吧宝宝
1 地址给我 
0 你觉得是就是吧
0 她主动,我也没办法
1 我给你点奶茶
1 她吐的一口痰我兑水喝了三年
1 今天你把我删了,我陷入了久久的沉思,我想这其中- -定有什么含义,原来你是在欲擒故纵,嫌我不够爱你,无理取闹的你变得更加可爱了,我会坚守我对你的爱的,你放心好啦 我换个号加你!
1 我朋友说再当舔狗就打断我的腿,幸好是腿,要是手的话,就没办法和你聊天了,宝 
0 我看你第一眼,就觉得你和别的女生不一样
0 跟你分手之后,我就不会再谈了
0 我以前对待感情从没认真过,直到遇见你
0 不管怎么样,我都不会和你分手的
0 我不想耽误你,你值得更好的
0 你要是这么想,我也没办法
0 最近真的很忙,没时间看手机
0 从一开始我就知道,我们走不到最后
0 我们性格不合,你会找到比我更好的
0 其实,我没有你想的那么好
0 我不想同时伤害两个人
0 不是因为她,只是我们之间的感情淡了
0 我都认错了,你还要怎样？
0 我下次不会这样了,原谅我吧
0 我跟她只是好朋友
0 你要这么想,我也没办法
0 我也不想跟前任打游戏啊,我朋友拉的啊
0 对不起,我还是爱你的
0 是她主动勾引我的,我对她一点感觉都没有
0 先把孩子打了,我保证以后会娶你
0 宝贝这个没什么好的
0 太晚了,没车了我们只能在外面住了
0 你怎么又生气了？我错了行吧？
0 别闹了,你以前不是这样的
0 多喝热水
0 希望你找到比我更好的
0 你跟她好像
0 我们还可以当朋友
1 太晚了我要睡了,不然明早不能早起给你买早饭了宝呜呜呜呜呜,对了你对象那份还是不加辣对吗
1 妹儿 今天没有月亮 天空黑黢黢的 我记得你的眼睛很大 也是黑黢黢的 每天晚上我都对着月亮想你 今天月亮累了 但我还在想你 我一点也不觉得累 你什么时候能想想我啊 一点点就够啦 妹儿 我委屈 我想你 ​​​
1 宝,我今天搬砖挣了五块钱,你以为我会把五块钱全部发给你吗？不,我会问别人再借两毛钱一起发给你
